molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL488910,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,active,469.58200000000033,3.6373000000000024,2.0,5.0,7.130768280269024
CHEMBL36506,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,inactive,612.6320000000002,3.6271200000000023,5.0,11.0,3.9829666607012197
CHEMBL348475,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,active,646.7440000000001,6.374600000000006,2.0,8.0,6.070581074285707
CHEMBL396298,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,active,563.6540000000001,5.5602000000000045,2.0,6.0,6.366531544420414
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,intermediate,446.9100000000004,4.275600000000003,1.0,7.0,5.8996294548824375
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,493.6150000000002,4.590320000000004,2.0,7.0,5.471083299722345
CHEMBL599353,COC(Cc1ccc(O)cc1)C(=O)N/C=C/c1ccc(O)cc1,inactive,313.35300000000007,2.4424,3.0,4.0,4.0
CHEMBL599354,CO/C(=C\c1ccc(O)cc1)C(=O)NCCc1ccc(O)cc1,inactive,313.353,2.444,3.0,4.0,4.598599459218456
CHEMBL607573,COC(Cc1ccc(O)cc1)C(=O)NCCc1ccc(O)cc1,inactive,315.369,2.0141999999999998,3.0,4.0,4.0
CHEMBL599746,O=C(/C=C/c1ccc(O)cc1)N/C=C/c1ccc(O)cc1,inactive,281.31100000000004,2.8981000000000003,3.0,3.0,4.0
CHEMBL599747,CO/C(=C\c1ccc(O)cc1)C(=O)NCC(O)c1ccc(O)cc1,inactive,329.35200000000003,1.9348999999999996,4.0,5.0,4.0
CHEMBL600469,CO/C(=C\c1ccc(O)cc1)C(=O)O,inactive,194.18599999999998,1.4641,2.0,3.0,4.0
CHEMBL599744,CO/C(=C\c1ccccc1)C(=O)N/C=C/c1ccc(O)cc1,inactive,295.338,3.1666000000000007,2.0,3.0,4.8124792791635365
CHEMBL599745,CO/C(=C\c1ccc(OC)cc1)C(=O)N/C=C/c1ccc(O)cc1,intermediate,325.36400000000003,3.175200000000001,2.0,4.0,5.1938200260161125
